name,branche,beschreibung,adresse,id,ansprechperson,email,telefon,telefax
"Radio Medien AG, Radio Argovia",Medien,De Soundtrack zom Läbe,"Bahnhofstrasse 41
5001 Aarau",3329,Florian Wanner,florian.wanner@argovia.ch,058 200 45 45,058 200 45 90
APG|SGA Allgemeine Plakatgesellschaft AG,Werbung,Grösster Out-of-home Medienanbieter der Schweiz,"Mühlemattstrasse 50
5001 Aarau",3330,Ostelio Schifano,ostelio.schifano@apgsga.ch,+41 58 220 73 13,+41 58 220 73 97
Allianz Suisse,Versicherung,"Versicherung, Vorsorge, Vermögen","Hintere Bahnhofstrasse 8
5001 Aarau",3331,Reto Suter,reto.suter@allianz.ch,058 357 52 36,058 357 52 53
AMA Messe und Kongress AG,Dienstleistungen,Messe- und Eventorganisation,"Rössligutstrasse 2
5000 Aarau",3332,Suzanne Galliker,suzanne.galliker@wigra.com,062/ 832 30 20,062/ 832 30 21
Architektengemeinschaft 4 AG,Architektur,,"Laurenzentorgasse 16
5000 Aarau",3333,Jürg Häfeli,j.haefeli@a4ag.ch,062/ 836 47 47,062/ 836 47 44
"Ralph Schiltknecht, Rechtsanwalt und Mediator SDM",Advokatur- und Notariatsbüro,Advokatur / Mediation / Notariat,"Rain 53
5001 Aarau",3334,lic. iur. Ralph Schiltknecht,schiltknecht@schiltknecht-rechtsanwalt.ch,062 834 33 00,062 834 33 01
Pfisterer Fretz Rechtsanwälte,Rechtsanwalt,Wir beraten Sie umfassend insbesondere in Angelegenheiten des öffentlichen Rechts.,"Frey-Herosé-Strasse 25
5000 Aarau",3335,Lukas Pfisterer,pfisterer@pfisterer.ch,062 550 01 55,062 550 01 56
Aschwanden Aarau AG,Bedachungen,Bedachungen / Fassadenbau / Spenglerei,"Postfach
5001 Aarau",3336,Marcel Aschwanden,info@aschwandenag.ch,062 / 836 10 00,062 / 836 10 01
AWTreuhand AG,Treuhand,Treuhand und Revisionsgesellschaft,"Erlinsbacherstrasse 3
5001 Aarau",3337,Pius Portmann,info@awtreuhand.ch,062/ 822 34 77,062/ 822 35 36
Telecomcenter Aarau GmbH,Telecommunikation,,"Buchserstrasse 34
5000 Aarau",3338,Oliver Zbinden,info@telecomcenter.ch,062 825 16 16,062 825 16 17
"SCOOTER Fashion Shop, Baghdadi International AG",Mode - Bekleidung,"Damenmode für jede Gelegenheit, eigenes Label SCOOTER","Postfach 2421
5001 Aarau",3340,Hanny Baghdadi,info@scooterfashion.ch,062 834 50 00,062 834 50 05
AarauInvest AG,Vermögensverwaltung,Vermögensverwaltung und Finanzberatung,"Hohlgasse 45
5000 Aarau",3341,Stephan Schurter,stephan.schurter@aarauinvest.ch,062 822 91 91,062 822 98 00
Basler Versicherung AG / Basler Leben AG / Generalagentur Aarau,Versicherung,Versicherungs- und Finanzlösungen,"Laurenzenvorstadt 90
5001 Aarau",3342,Stephan Imoberdorf,stephan.imoberdorf@baloise.ch,+41 58 285 24 76,+41 58 285 57 75
Advokaturbüro Peter Forster,Advokatur- und Notariatsbüro,,"Kasinostrasse 30
5000 Aarau",3343,Peter Forster,forster@forsterlaw.ch,062 823 18 18,062 823 39 48
Berner AG  Printline,Druck,Digitaldruck - Werbetechnik - Plakate/Poster - Plan/Plot/Scan - Textildruck,"Rohrerstrasse 33
5001 Aarau",3345,Hanspeter Liniger,liniger@printline.ch,062 832 77 88,062 832 77 90
Bernheim & Co. AG,Mode - Bekleidung,Alain Bernheim,"Kasinostrasse 25
5000 Aarau",3347,Brigitte Bolliger,b.bolliger@bernheim.ch,062/ 832 41 41,062/ 832 41 59
Linder Blumen GmbH,Blumen,Qualität + Kreativität = Linder Blumen,"Bahnhofplatz 1
5001 Aarau",3348,Mathias Baumberger,administration@blumenlinder.ch,062 822 20 64,062 822 26 37
Bodmer Bauingenieure AG,Ingenieurbüro,"Dienstleistung, Ingbüro für Hoch- u. Tiefbau","Tellistrasse 114
5001 Aarau",3349,Markus Bodmer,info@bodmering.ch,062/ 838 21 80,062/ 838 21 81
Boschetti  AG,Sanitär - Heizung,"""De Boschetti wetti""","Weihermattstrasse 36
Postfach 2334
5001 Aarau",3351,Peter Amsler,amsler@boschetti.ch,062 / 837 64 64,062 / 837 64 00
Confiserie Tea Room Brändli Aarau AG,Bäckerei - Konditorei - Confiserie,,"Bahnhofstrasse 37
5000 Aarau",3353, ,info@confiserie-braendli.ch,062 822 12 28,062 822 28 36
Brillen - TROTTER AG,Optik,Diplomierte Augenoptiker,"Bahnhofstrasse 55
Postfach 2402
5001 Aarau",3354,Christian Stebler,info@trotteraarau.ch,062/ 838 22 22,062/ 838 22 00
Maler Stefanie Briner,Maler,"Maler- und Tapeziererarbeiten, Spanndecken, Naturofloor","Mühlemattstrasse 91
5000 Aarau",3355,Stefanie Briner,info@maler-briner.ch,062/ 824 60 50,
5000 hair Pino Costanzo,Coiffure,Damen- und Herrencoiffure,"Schiffländestrasse 27a
5000 Aarau",3356,Pino Costanzo,pino@5000hair.ch,062 824 80 80,
"Buser + Partner AG, dipl. Architekten ETH/SIA",Architektur,in Aarau und Umgebung seit 1946,"Jurastrasse 2
5000 Aarau",3359,"Michel Pesse , Architekt (Geschäftsleitung)",michel.pesse@buserundpartner.ch,062/ 822 72 82,062/ 824 13 71
Aarlux-Aarau GmbH,Elektro,"Handel mit lichttechnischen Produkten, insbesonders mit Leuchtmittel.","Schiffländestrasse 45
5000 Aarau",3360,Eduard A. Buholzer,info@aarlux.ch,062 822 04 03,062 823 12 70
La passion du vin AG,Weine und Spirituosen,Ausgesuchte Weine aus kleinen Produktionen.,"Laurenzentorgasse 7
5000 Aarau",3363,Matthias Seifritz Kaufmann,aarau@passionduvin.ch,062 823 70 40,062 823 70 22
Bank Cler,Bank,,"Kasinostrasse 17
Postfach
5001 Aarau",3365,Claudio Dello Preite,claudio.dellopreite@cler.ch,062/ 836 40 88,062/ 836 40 89
Herzig Interlook AG,,,"Graben 8
5000 Aarau",3367,M. Aviolat,info@interlook.ch,062 824 88 88,062 824 88 70
Vaudoise Versicherungen,Versicherung,Generalagentur Andy Siegenthaler,"Kasernenstrasse 26
5001 Aarau",3369,Andy Siegenthaler,asiegenthaler@vaudoise.ch,+41 62 838 06 06,+41 62 838 06 07
Vom Fass Aarau GmbH,Weine und Spirituosen,"Sehen, probieren, geniessen","Pelzgasse 15
5000 Aarau",3370,Elisabeth und Alfred Holenweg,info@vomfass-aarau.ch,062 822 86 30,062 822 86 33
Notariat Rudolf Fasler,Advokatur- und Notariatsbüro,"aargauischer Notar, eidg. dipl. Immobilientreuhänder","Bleichemattstrasse 11
5001 Aarau",3371,Rudolf Fasler,info@fasler-notariat.ch,062 824 00 44,062 824 36 44
Fasler Druck AG,Druck,,"Neumattstrasse 32
5000 Aarau",3372, ,contact@faslerdruck.ch,062/ 822 30 79,
Finocchiaro Parkettdesign GmbH,"Bodenbeläge, Teppiche, Parkett",Sanierungen und Neuverlegung von Bodenbelägen,"Delfterstrasse Süd 10
5004 Aarau",3373,Rosi Luongo,info@finocchiaro.ch,062/ 822 34 06,062/ 822 34 66
FMT Fachmarkt Möbel und Teppiche  AG,Möbelgeschäft,,"Küttigerstrasse 42
5001 Aarau",3374,Willy Buchser,info@fmt.ch,062/ 837 10 20,062/ 837 10 30
Frei Architekten AG,Architektur,,"Bleichemattstrasse 43
5000 Aarau",3375, ,info@frei-architekten.ch,062/ 834 90 50,062/ 834 90 60
Garage Rebmann AG,Automobile,,"Edisonstrasse 1
5033 Buchs AG",3376,Tobias Gloor,info@rebmann-ag.ch,062 835 60 60,062 835 60 66
Gasthof zum Schützen AG,Gastgewerbe,,"Schachenalle 39
5000 Aarau",3377,Manuela Schmid,ms@gasthofschuetzen.ch,062/ 823 01 24,062/ 822 00 53
Gebr. Strässle AG,Metzgerei,Traiteur / Party-Service,"Tramstrasse 31
5034 Suhr",3378,Herren Jürg und Remo Strässle,info@metzgerei-straessle.ch,062/ 855 90 80,062/ 855 90 85
Securitas AG,Sicherheitsdienst,Integrale Sicherheitsdienstleistungen,"Rain 42
5000 Aarau",3379,Aldo Lauber,aldo.lauber@securitas.ch,062 286 64 64,062 286 64 65
Glas + Spiegel René Müller GmbH,Glaserei,Glasschleiferei-Glasbau,"Picardiestrasse 5
5040 Schöftland",3380,René Müller,info@glasmueller.ch,062/ 822 80 44,062/ 824 89 34
Gloor Metallbau GmbH,Metallbau,,"Tellistrasse 18
5000 Aarau",3381,Gary Gloor,info@gloor-metallbau.ch,062/ 822 21 47,062/ 822 24 15
Goldschmied Gloor AG,Goldschmied,,"Rain 8
5000 Aarau",3382,Andreas Vögele,info@gloorgoldschmied.ch,062/ 822 26 75,062/ 822 68 52
Grassi L. AG,Velos - Motos,"Handel &amp; Reparaturen von Fahrrad, Mofa und Roller","Hammer 3
5000 Aarau",3383,Lorenzo Grassi,info@grassibikes.ch,062/ 822 22 14,062/ 822 54 46
Gräub Auto Center AG,Automobile,Carrosserie+Garage,"Industriestrasse 39
5036 Oberentfelden",3384,Reto Gräub,info@graeub.ch,062 837 59 59,062 837 59 49
Gruber Partner AG,Treuhand,prüfen - beraten - führen,"Bahnhofstrasse 78
5001 Aarau",3385,Marc Landolt,marc.landolt@gruberpartner.ch,062 834 03 30,062 834 03 40
Gygax Uhren Schmuck Erleben AG,Bijouterie - Uhren,"Uhren, Bijouterie, Schmuck, Trauringe, Verlobungsringe, Perlen, Diamanten, Breitling, Zentih, Chopard, Maurice Lacroix, Rado, Ebel, mechanische Uhren, Goldschmiede, Schmuckanfertigungen, Schmuckdesign","Bahnhofstrasse 31
5000 Aarau",3386,David Gygax,info@gygax.com,062 832 52 52,
Gytronic AG,Lautsprecheranlagen,"Ruf- und Musikanlagen (ELA), HomeCinema","Bahnhofstrasse 50
5507 Mellingen",3387,Björn Brühlmann,gytronic@gytronic.ch,062/ 822 50 31,
Hagenbuch AG,Papeterie,,"Vordere Vorstadt 21
5001 Aarau",3388,Doris Tarmann,info@hagenbuchag.ch,062/ 822 22 59,062/ 824 77 18
Hans Hassler AG,"Bodenbeläge, Teppiche, Parkett",Bodenbeläge + Vorhangsysteme,"Rohrerstrasse 78
5001 Aarau",3389,Reto Berli,r.berli@hassler.ch,062 832 08 32,062 832 08 33
Häuptli & Marchesi AG,"Bodenbeläge, Teppiche, Parkett",Plattenleger und Kundenmaurer,"Rohrerstrasse 62
5001 Aarau",3390,Rolf Schär,info@haeuptli-marchesi.ch,062 822 70 88,062 822 00 45
Häusermann AG,Automobile,,"Rohrerstrasse 30
5000 Aarau",3391, ,info@garage-haeusermann.ch,062/ 838 20 80,062/ 822 26 27
Graviertechnik Heidersberger AG,Gravuren,Gravuren Schilder Kinderbestecke Stempel Pokale Tafelbestecke Verbotsschilder Technikschilder Zinnwaren Kindergeschirr,"Bircher Benner-Weg 2
5001 Aarau",3392,Beat Heidersberger,info@graviertechnik.ch,062/ 824 52 15,062/ 824 60 71
Heiz Schriften AG,Schrift - und Reklamegestaltung,,"Tellistrasse 41
5000 Aarau",3393,Rolf Fischer,info@heizschriften.ch,062/ 822 29 64,062/ 822 34 79
Heizmann AG,Schlauchtechnik,Grosshandel + Produktion,"Neumattstrasse 8
5000 Aarau",3394,Karin Streit-Heizmann,karin@streit-heizmann.ch,062/ 834 06 06,062/ 834 06 05
HKG Engineering AG,Ingenieurbüro,,"Mühlemattstrasse 16
5001 Aarau",3395,René Herzog,r.herzog@hkg.ch,062/ 834 54 54,062/ 834 54 55
Malermeister Hochuli AG,Maler,Malen Tapezieren Naturofloor Beläge Dekorationen Farbberatung,"Pfrundweg 1
5000 Aarau",3396,Stefan Schürch,s.schuerch@hochuliaarau.ch,062/ 822 13 16,062/ 822 13 07
Aarauer Praxis,Gesundheit,"Praxis für Akupunktur & Alternativmedizin / Praxis für Kinderwunsch, Schwangerschaft & Geburt","Bachstrasse 59
5000 Aarau",3397,Corinne Briner,info@aarauerpraxis.ch,076 437 98 77,
Hochuli Malergeschäft GmbH,Maler,"Malen, Tapezieren, Fassaden, Farbberatung-+Gestaltung","Buchserstrasse 51
5000 Aarau",3398,Koni Hochuli,info@maler-hochuli.ch,062/ 822 32 14,062/ 822 32 14
Hofer Max,Sanitär - Heizung,Spenglerei Sanitär Heizung,"Kirchgasse 15
5000 Aarau",3399,Max Hofer,,062 822 12 44,062 849 12 38
Sorell Hotel Aarauerhof,Gastgewerbe,Aarauerhof Konferenz- & Seminarhotel Wellnessoase -Restaurants,"Bahnhofplatz 2
5000 Aarau",3400,Nadine Courtial,nadine.courtial@sorellhotels.com,062/ 837 83 00,062/ 837 84 00
Scholl Lienhard & Partner Rechtsanwälte,Advokatur- und Notariatsbüro,,"Laurenzenvorstadt 19
5001 Aarau",3402,Herbert Scholl,scholl@slp.ch,062/ 836 40 50,062/ 836 40 60
Eniwa AG,Elektro,,"Industriestrasse 25
5033 Buchs",3403,Bruno Kaufmann,bruno.kaufmann@eniwa.ch,062 835 00 10,062 835 02 54
Jost Aarau AG,Elektro und Telekommunikation,Jost verbindet... Elektroanlagen Telematik Automation,"Neumattstrasse 6
5001 Aarau",3404,Roland Müller,info@jostaarau.ch,062 837 70 70,062 837 70 79
Keller & Co. Liegenschafts-Verwaltung,Immobilien,,"Zelglistrasse 39
5000 Aarau",3405, ,info@keller-partner.ch,062 822 79 24,
AXA Generalagentur Vorsorge & Vermögen Erwin Schmid,Versicherung,"Vorsorgeberatung für Privatpersonen, Finanz- und Pensionierungsplanungen, Pensionskassenberatung für Unternehmen.","Schlossplatz 1
Postfach 2219
5001 Aarau",3407,Erwin Schmid,erwin.schmid@axa.ch,+41 62 837 48 40,
Büro Köbeli GmbH,Büroeinrichtungen,Spezialisiert auf Büroeinrichtung und Planung,"Korbackerweg 19
5502 Hunzenschwil",3408,Mike Rothenbühler,mike@rothenbuehler.ch,062 825 01 30,062 825 01 35
Knecht Reisen AG,Reisen,,"Vordere Vorstadt 27
5000 Aarau",3409,Nadine Hauser,nhauser@knecht-reisen.ch,062/ 834 02 50,062/834 02 55
Senevita Gais Aarau,Gesundheit,,"Hintere Bahnhofstrasse 90
5000 Aarau",3410,Anouk Baumann,anouk.baumann@senevita.ch,062 387 00 00,062 387 00 10
Oel-Pool AG,Transporte,,"Spittelweg 1
5034 Suhr",3412,Daniel Sieber,d.sieber@oel-pool.com,062 836 85 00,062 836 85 23
Lämmli Architektur AG,Architektur,Architektur / Projektentwicklungen,"General Guisan-Strasse 2
5000 Aarau",3413,Dieter Lämmli,aarau@laemmli.ch,062 836 88 36,062 836 88 35
"Briner Barbara, Wohn- und Raumkonzept",Innenarchitektur,"Wohnen - Arbeiten - Leben / Professionelle Beratung, Planung und Umsetzung bei der Gestaltung Ihrer Räume","Mühlemattstrasse 91
5000 Aarau",3414,Barbara Briner,beratung@barbara-briner.ch,062 824 60 50,062 824 60 12
"Eichenberger AG, Bauingenieure und Planer",Baugewerbe,Bauingenieure und Planer,"Hauptstrasse 34 / Postfach
5037 Muhen",3415,Rolf Buchser,rolf.buchser@eichenberger-ing.ch,062 737 20 30,062 737 20 39
Lehnert AG,Gartenbau,"Wasser, Pflanzen und Gärten","Postfach 78
5022 Rombach",3416,Stefan Lehnert,info@gartenzentrum.ch,062/ 827 25 25,062/ 827 25 27
Minerva Schweiz AG,Schule,Berufsvorbereitung/Handelsschule VSH/Kaderschule/,"Industriestrasse 1 / Gais Center
5001 Aarau",3418,Philipp Tobler,aarau@minervaschulen.ch,062 / 836 92 92,062 / 836 92 90
Loss Astrid,Kosmetik,,"Rathausgasse 29
5000 Aarau",3419,Astrid M. Loss,am@loss.ch,062/ 822 52 17,
Kurt Lüscher AG,Elektro und Telekommunikation,Elektrotechnische Unternehmungen,"Postfach
5001 Aarau",3420,Elektrotechn. Unternehmungen,info@kla.ch,062/ 834 50 50,062/834 50 51
Lüthi & Schneiter AG,Architektur,ArchitektInnen BA FHNW,"Laurenzenvorstadt 25
5000 Aarau",3421,Isabelle Brechbühl,brechbuehl@luethischneiter.ch,062/ 823 23 63,
RDL GmbH,Baugewerbe,Wir arbeiten im Innenausbau im Bereich Systemtrennwände und Akustiklösungen an Decken und Wänden.,"Reiherweg 2
5034 Suhr",3422,Rita Rubicondo,rita.rubicondo@rdl-gmbh.ch,062 842 55 55,062 842 55 52
Fläschehals Martin Hartmann AG,Weine und Spirituosen,Weine und Getränke,"Laurenzenvorstadt 53
5000 Aarau",3423,Martin Hartmann,aarau@flaeschehals.ch,062 822 35 72,062 822 50 72
Maurer AG,Maler,"Baumalerei, Thermolackierwerk, Carrosserie","Bresteneggstrasse 1
5033 Buchs",3424,Tobias Maurer,tm@maurer-ag.ch,062/ 837 57 37,062/ 837 57 36
McDonalds Restaurant,Gastgewerbe,Restaurant,"Bahnhofstrasse 5-7
5000 Aarau",3425,Fredy Bruder,info@fredybruder.ch,062 824 18 18,062 824 18 19
Mode Moser AG,Mode - Bekleidung,Damenmode und Festmode,"Metzgergasse 4
5000 Aarau",3426,Alfred Moser,mode.moser@bluewin.ch,062/ 822 65 51,062/ 822 53 15
Rud. Bürgi + Partner GmbH,Ingenieurbüro,Engineering,"Bahnhofstrasse 86
5000 Aarau",3428,Patrick Rötheli,bahnstrom@buergi-bahnstrom.ch,062 837 90 30,062 825 05 25
Neue Aargauer Bank AG,Bank,Bank,"Bahnhofstrasse 49
5001 Aarau",3429,Hans Nauer,hans.nauer@nab.ch,062 838 82 60,062 838 87 00
Neue Apotheke Aarau,Apotheke,,"Vordere Vorstadt 11
5000 Aarau",3430,G. Vegezzi,,062 822 00 00,062 822 00 02
Immovendo,Immobilien,Immobilienvermittlung,"Zentralstrasse 52
5610 Wohlen",3432,Rudolf Hunziker,rudolf.hunziker@immovendo.ch,056 649 99 66,056 649 99 69
Oel-Brack AG,Treib- und Brennstoffe,,"Rupperswilerstrasse 3
5502 Hunzenschwil",3434,Thomas Brack,info@oelbrack.ch,062 889 10 30,062 889 10 49
Personal Sigma Aarau AG,Personal,Personalberatung - Stellenvermittlung,"Jurastrasse 6
5001 Aarau",3436,Urs Herzog,urs.herzog@ps-aarau.ch,062 824 66 24,062 822 46 17
Pfisterer Thomas Dr. iur. Fürsprecher LL.M.,Rechtsanwalt,,"Fröhlichstrasse 4
5000 Aarau",3437,Thomas Pfisterer,thomas.pfisterer@bluewin.ch,062/ 823 42 80,062/ 823 42 81
Foto Basler,Foto,Industrie und Werbeaufnahmen,"Bahnhofstrasse 18
5000 Aarau",3438,Beni Basler,info@fotobasler.ch,062/ 822 11 74,
Pneu Egger AG,"Pneus, Pneuservice",Ihr Spezialist für Reifen und diverses Zubehör,"Neumattstrasse 4 
5001 Aarau",3439,Christoph  Müller,gf-aarau@pneu-egger.ch,058 200 71 10,058 200 77 11
"Post CH AG, Poststellengebiet Aarau",Dienstleistungen,,"Bahnhofstrasse 67
5001 Aarau",3440,Peter Hediger,peter.hediger@post.ch,058 667 73 38,058 667 44 81
Priska Hochzeits- und Festtagsmode AG,Boutique,,"Rathausgasse 28
5000 Aarau",3441,Lianna Papoyan,info@priska-hochzeitsmode.ch,062 824 59 59,062 823 09 59
smARTec Veranstaltungstechnik,Veranstaltungstechnik,Vermietung von Multimedialer Veranstaltungstechnik,"Wässermattstrasse 7
5000 Aarau",3442,Marc Probst,marc.probst@smartec.com,062 888 19 19,
Kino Aarau AG,Kino,Kinos Aarau,"Kasinostrasse 13
5000 Aarau",3443,Rolf Portmann,r.portmann@kino-aarau.ch,062 832 11 11 / morgens 08:30 - 11:30,062 832 11 29
Restaurant Mürset,Gastgewerbe,,"Schachen 14/18
5000 Aarau",3444,Martin Klima,restaurant@muerset.ch,062/ 822 13 72,062/ 824 29 88
Baubedarf-Richner-Miauton,Baugewerbe,Bäder und Plättli,"BR Bauhandel AG
Pulverhausweg 1
5033 Buchs AG",3445,Patrick Häfeli,patrick.haefeli@crh-sd.ch,062 834 37 37,062 834 37 79
"Rothpletz, Lienhard + Cie. AG",Baugewerbe,,"Schiffländestrasse 35
5001 Aarau",3446, ,rlinfo@rothpletz.ch,062/ 836 91 11,062/ 836 91 10
Glockengiesserei H. Rüetschi AG,Diverse,Glockenguss. Kirchturmtechnik. Turmuhren. Zifferblätter. Kunstguss. Metallbau. Design. Restauration.Vergoldungsarbeiten,"Rain 44
5000 Aarau",3448,René Spielmann,info@guk.ch,062 824 43 43,062 824 08 55
Paul Ryser AG,Sanitär - Heizung,Planung / Ausführung von Haustechnikanlagen,"Florastrasse 16
5001 Aarau",3449,Peter Ryser,info@ryser.ch,062 836 10 40,
Salon drü GmbH ,Podologie,"Institut für Kosmetik, Podologie","Kasinostrasse 25
5000 Aarau",3450,Marion Soltermann,salon3@bluewin.ch,062/ 822 33 14,062/ 822 33 59
Implenia Schweiz AG,Baugewerbe,Profitcenter Aargau,"Modernisation & Development
Bahnhofstrasse 24
5000 Aarau",3451,Marco Pulver,marco.pulver@implenia.com,062 822 15 32,062 837 06 99
IN4OUT AG,Computer,Informatik Dienstleistungen,"Hintere Bahnhofstrasse 6
5000 Aarau",3452,Bruno Stöckli,bruno.stoeckli@in4out.ch,062 834 50 70,062 834 50 79
BOWLING-CENTER AARAU,Gastgewerbe,"Bowling, Billard, Barbetrieb und Unterhaltungsspiele","Rohrerstrasse 102
5000 Aarau",3453,Herren Willi und Marcel Fischer,bowlingaarau@bluewin.ch,062 823 58 33,056 823 58 34
Schenker Storen AG,Storen und Rollladen,,"Stauwehrstrasse 34
5012 Schönenwerd",3455,Urs Aeschbach,schenker.aarau@storen.ch,062 858 55 77,062 858 55 51
Schlüssel Informatik AG,Internet,,"Graben 10
5000 Aarau",3456,Daniel Kugler,info@schluesselinfo.ch,062 823 68 68,062 823 68 69
infowirt.ch gmbh,Dienstleistungen,"Keine Strasse ist lang, mit einem Freund an der Seite.","Herzogstrasse 4
5000 Aarau",3457,Roger Meier,roger.meier@infowirt.ch,062 832 70 75,
Schuh Wehrli,Schuhe,,"Graben 26
5000 Aarau",3458,Erika Barth-Wehrli,info@schuhwehrli.ch,062/ 822 27 32,062 823 27 67
Ortholine Aarau,Gesundheit,,"Ziegelrain 11
5000 Aarau",3459,Thomas Huber,info@ortholine.ch,062 822 19 33,062 822 19 91
Printpark GmbH,Digitaldruck & Werbetechnik,"Wir realisieren Beschriftungen und Werbung an Gebäuden, Fahrzeugen und Verkaufspunkten.","Mitteldorfstrasse 35
5033 Buchs",3460,Samuel Niederer,sn@printparkgmbh.ch,062 836 30 50,062 836 30 52
Brunner Zimmerei Holzbau GmbH,Holzbau,Für Qualität im Holzbau - von der Planung bis zur Ausführung. ,"Picardiestrasse 25
5040 Schöftland",3461,Daniel Brunner,holzbau@brunner-gmbh.ch,062 739 30 50,062 739 30 51
Credit Suisse (Schweiz) AG,Bank,Bankdienstleistungen,"Bahnhofstrasse 20
5001 Aarau",3462,Arlet Schmid,arlet.schmid@credit-suisse.com,062 836 33 16,062 836 32 01
Die Mobiliar Versicherungen & Vorsorge,Versicherung,mobi 24 - 24 Std. Zentrale,"Kasinostrasse 29
5001 Aarau",3463,Daniel Probst,daniel.probst@mobi.ch,062/ 837 75 75,062/ 837 75 76 
UBS AG,Bank,UBS AG,"Bahnhofstrasse 61
Postfach
5000 Aarau",3466,Stephan Kunz,stephan.kunz@ubs.com,062 835 90 48,062 835 92 60
Kähli AG,"Maler, Sandstrahler",Malerarbeiten aller art / Sandstrahlen mobil u. statonär,"Obermattweg 10
5032 Aarau Rohr",3468,Thomas Kähli,info@kaehli.ch,062 824 11 80,062 824 11 10
PricewaterhouseCoopers AG,Treuhand,Wirtschaftsprüfung und Steuerberatung,"Bleichemattstrasse 43
5000 Aarau",3469,Gerhard Siegrist,gerhard.siegrist@ch.pwc.com,058 792 61 00,058 792 61 10
pandanet.ch GmbH,Computer,IT- Dienstleistungen,"Stauwehrstrasse 40
5012 Schönenwerd",3470,Christophe Pantillon,info@pandanet.ch,062 832 08 00,062 832 08 01
"Zurich, Generalagentur Vincenzo Centolanza",Versicherung,"Versicherung, Vorsorge, Vermögen für Firmen und Private","Industriestrasse 14
Agentur Aarau / Oberentfelden
5036 Oberentfelden",3471,Vincenzo Centolanza,vincenzo.centolanza@zurich.ch,+41 62 836 52 52,+41 62 836 53 72
profex broker AG,Versicherung,http://www.profexbroker.ch,"Distelbergstrasse 22
5000 Aarau",3472,Christian Schuler,schuler@profexbroker.ch,062 769 02 00,062 769 02 01
ENGIE Services AG,Gebäudetechnik,,"Hinterdorfstrasse 21
5032 Aarau Rohr",3474,Tommy Claussen,tommy.claussen@ch.engie.com,062/ 837 15 01,062/ 837 16 71
Tele M1 AG,Medien,,"Neumattstrasse 1
5001 Aarau",3475,Daniele Lombardi,daniele.lombardi@azmedien.ch,058 200 46 46,
Thut Architekten AG,Architektur,Dipl. Architekten FH/STV,"Wässermattstrasse 12
5000 Aarau",3477,Markus Thut,mthut@thut-architekten.ch,062 835 60 80,
thv AG,Treuhand,"Buchhaltung, Steuern, Recht, Revision","Ziegelrain 29
5001 Aarau",3478,Rolf Kihm,rolf.kihm@thv.ch,062 837 17 17,062 837 17 77
Urech Optik AG,Optik,,"Vordere Vorstadt 18
5000 Aarau",3480,Dieter Urech,info@urech.ch,062/ 838 20 00,062/ 838 20 03
BDO AG,Treuhand,Treuhand- und Beratungsgesellschaft,"Entfelderstrasse 1
5001 Aarau",3482,Rudolf Vogt,rudolf.vogt@bdo.ch,062 / 834 91 91,062 / 834 91 04
